Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
Taras/ Centrum/ 3 pokoje/ wysoki standard,949700.0,"ul. Czysta, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",53.55,3 ,2/6,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/taras-centrum-3-pokoje-wysoki-standard-ID4nWho,Dolnośląskie,Wrocław
1-pokojowe mieszkanie 27m2 + ogródek Bez Prowizji,354400.0,"ul. Kampinoska, Ujeścisko-Łostowice, Gdańsk, pomorskie",27.91,1 ,parter/3,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4nExF,Pomorskie,Gdańsk
Mieszkanie 2 pokojowe,229000.0,"ul. Kolejowa, Centrum, Siemianowice Śląskie, śląskie",44.7,2 ,2/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-ID4ns84,Śląskie,Siemianowice Śląskie
2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio,,"ul. Hokejowa, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",38.93,2 ,3/3,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-bezposrednio-ID4n3ID,Pomorskie,Gdańsk
4-pokojowe mieszkanie 80m2 + ogródek Bez Prowizji,,"ul. Oleńki, Dawidy Bankowe, Raszyn, pruszkowski, mazowieckie",80.12,4 ,parter/1,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-ogrodek-bez-prowizji-ID4g3AL,Mazowieckie,pruszkowski
"Atrakcyjne 3pok. z ogródkiem, garażem, ul.Pienista",630000.0,"ul. Pienista, Lublinek, Polesie, Łódź, łódzkie",72.0,3 ,parter/4,do zamieszkania,,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/atrakcyjne-3pok-z-ogrodkiem-garazem-ul-pienista-ID4nWhm,Łódzkie,Łódź
Winda/Miejsce W Hali/ Widok Na Zieleń!,1100000.0,"ul. Jacka Malczewskiego, Siedlce, Gdańsk, pomorskie",68.91,3 ,1/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/winda-miejsce-w-hali-widok-na-zielen-ID4nWhl,Pomorskie,Gdańsk
"Mieszkanie, 35,50 m², Wałbrzych",180000.0,"Piaskowa Góra, Wałbrzych, dolnośląskie",35.5,2 ,8/10,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-35-50-m-walbrzych-ID4nWhi,Dolnośląskie,Wałbrzych
"Umeblowane 2 pokoje w świetnym stanie, Przymorze",490000.0,"ul. Kołobrzeska, Przymorze Wielkie, Gdańsk, pomorskie",38.0,2 ,4/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/umeblowane-2-pokoje-w-swietnym-stanie-przymorze-ID4nHbY,Pomorskie,Gdańsk
"Umeblowane 3 pokoje, szkoła, stan b.dobry, Osowa",650000.0,"ul. Hermesa, Osowa, Gdańsk, pomorskie",59.1,3 ,1/2,do zamieszkania,inne,,balkon,https://www.otodom.pl/pl/oferta/umeblowane-3-pokoje-szkola-stan-b-dobry-osowa-ID4nL3x,Pomorskie,Gdańsk
"5 min plaża, 2 pokoje, os kuchnia, balkon, Brzeźno",675000.0,"ul. Walecznych, Brzeźno, Gdańsk, pomorskie",53.2,2 ,3/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/5-min-plaza-2-pokoje-os-kuchnia-balkon-brzezno-ID4nTr7,Pomorskie,Gdańsk
"3-pokojowe mieszkanie 59,1m2 narożne!",732840.0,"Tarnogaj, Krzyki, Wrocław, dolnośląskie",59.1,3 ,4/5,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59-1m2-narozne-ID4nWhg,Dolnośląskie,Wrocław
Pod klucz–niepowtarzalny widok | pełne wyposażenie,399000.0,"Ciechanów, ciechanowski, mazowieckie",43.43,2 ,1/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/pod-kluczniepowtarzalny-widok-pelne-wyposazenie-ID4nJaU,Mazowieckie,ciechanowski
Apartament z Garażem i tarasem Cicho i super miejs,798000.0,"ul. Czapelska, Grochów, Praga-Południe, Warszawa, mazowieckie",48.0,2 ,1/7,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartament-z-garazem-i-tarasem-cicho-i-super-miejs-ID4nWh6,Mazowieckie,Warszawa
Promocja Kawalerka W Świetnej Lokalizacji!,465000.0,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie",25.87,1 ,2/4,do wykończenia,miejskie,,"balkon, ogródek",https://www.otodom.pl/pl/oferta/promocja-kawalerka-w-swietnej-lokalizacji-ID4nWh5,Małopolskie,Kraków
"wysoki standard, 3 pokoje, idealny układ",545000.0,"ul. Długa, Wieliczka, Wieliczka, wielicki, małopolskie",50.42,3 ,1/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/wysoki-standard-3-pokoje-idealny-uklad-ID4nWh2,Małopolskie,wielicki
"3 pokoje,Centrum, WYSOKI STANDARD",459000.0,"Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie",62.74,3 ,9/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-centrum-wysoki-standard-ID4nPMM,Śląskie,Dąbrowa Górnicza
"Os. Rusa - piękne, po remoncie",740000.0,"os. Rusa, Chartowo, Nowe Miasto, Poznań, wielkopolskie",79.5,3 ,8/16,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/os-rusa-piekne-po-remoncie-ID4npwd,Wielkopolskie,Poznań
Mieszkanie Grudziądz os. Strzemięcin,299000.0,"ul. Śniadeckich, Grudziądz, kujawsko-pomorskie",72.0,4 ,3/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-grudziadz-os-strzemiecin-ID4nHRF,Kujawsko-pomorskie,Grudziądz
nowoczesne | 2 pokoje | wyposażone,799000.0,"ul. Marii Rodziewiczówny, Gocławek, Praga-Południe, Warszawa, mazowieckie",49.33,2 ,2/25,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-wyposazone-ID4iU81,Mazowieckie,Warszawa
Kawalerka | 35 m2 | Ursynów,579000.0,"Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",34.45,1 ,parter/4,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/kawalerka-35-m2-ursynow-ID4nA12,Mazowieckie,Warszawa
Mieszkanie Reden ul. Wojska Polskiego,299000.0,"Reden-Adamiecki, Reden, Dąbrowa Górnicza, śląskie",46.6,2 ,1/10,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-reden-ul-wojska-polskiego-ID4nWgX,Śląskie,Dąbrowa Górnicza
Ursynów 4 Pokoje gotowe do zamieszkania !,997650.0,"ul. Aleksandra Janowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie",73.9,4 ,3/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ursynow-4-pokoje-gotowe-do-zamieszkania-ID4n0gy,Mazowieckie,Warszawa
3-pokojowy apartament 57m2 + balkon Bezpośrednio,,"ul. Józefa Czyżewskiego, Oliwa, Gdańsk, pomorskie",57.88,3 ,3/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-57m2-balkon-bezposrednio-ID4l3e3,Pomorskie,Gdańsk
Nowoczesny apartament o wysokim standardzie,1400000.0,"Czechowice, Ursus, Warszawa, mazowieckie",80.0,2 ,6/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-o-wysokim-standardzie-ID4nJaK,Mazowieckie,Warszawa
"Przytulne, 2 pokoje, duży taras, garaż",599999.0,"ul. Stanisławowska, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie",44.7,2 ,1/3,do zamieszkania,kotłownia,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-duzy-taras-garaz-ID4neC6,Dolnośląskie,Wrocław
Warszawa-Wawer | 3 pokoje | blisko PKP,849000.0,"Falenica, Wawer, Warszawa, mazowieckie",58.36,3 ,1/5,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/warszawa-wawer-3-pokoje-blisko-pkp-ID4nD9s,Mazowieckie,Warszawa
Mieszkanie z możliwościami aranżacyjnymi,269000.0,"ul. Jarosława Iwaszkiewicza, Zduńska Wola, zduńskowolski, łódzkie",53.0,3 ,3/3,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-z-mozliwosciami-aranzacyjnymi-ID4lQ40,Łódzkie,zduńskowolski
1-pokojowe mieszkanie 34m2 + balkon Bez Prowizji,,"ul. Ceglana, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie",34.28,1 ,6/7,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4fuFY,Śląskie,Katowice
Mieszkanie 4 pokoje spółdzielcze własnościowe,379000.0,"Pomorzany, Zachód, Szczecin, zachodniopomorskie",54.4,4 ,1/4,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-spoldzielcze-wlasnosciowe-ID4nWgP,Zachodniopomorskie,Szczecin
2 pokoje_antresola_2tarasy/ Developer bezpośrednio,1486000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",103.5,2 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/2-pokoje-antresola-2tarasy-developer-bezposrednio-ID4nWgL,Mazowieckie,Warszawa
Nowe mieszkania przy Brdzie - Centrum Bydgoszczy,491000.0,"Śródmieście, Bydgoszcz, kujawsko-pomorskie",44.12,2 ,3/10,,miejskie,,"ogródek, taras",https://www.otodom.pl/pl/oferta/nowe-mieszkania-przy-brdzie-centrum-bydgoszczy-ID4nWgK,Kujawsko-pomorskie,Bydgoszcz
"Mieszkanie, 32 m², Poznań",340000.0,"ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie",32.0,2 ,4/4,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-32-m-poznan-ID4nWgJ,Wielkopolskie,Poznań
Mieszkanie 3/4 Pokojowe - Rozkładowe i Jasne,900000.0,"ul. Dedala, Gocław, Praga-Południe, Warszawa, mazowieckie",87.1,4 ,4/4,do wykończenia,,,taras,https://www.otodom.pl/pl/oferta/mieszkanie-3-4-pokojowe-rozkladowe-i-jasne-ID4npFl,Mazowieckie,Warszawa
Przestronne Mieszkanie w zielonej okolicy.,749000.0,"ul. Ogórkowa, Nadwiśle, Wawer, Warszawa, mazowieckie",69.0,3 ,1/1,do zamieszkania,kotłownia,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-zielonej-okolicy-ID4nooV,Mazowieckie,Warszawa
Mieszkanie 3 pokoje z 70m2 ogródkiem,589000.0,"Gorzów Wielkopolski, lubuskie",69.0,3 ,parter/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-z-70m2-ogrodkiem-ID4neBV,Lubuskie,Gorzów Wielkopolski
"Apartament z basenem - Wola, Jana Kaziemierza",849000.0,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",41.2,2 ,4/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartament-z-basenem-wola-jana-kaziemierza-ID4nN9P,Mazowieckie,Warszawa
Mieszkanie dwupokojowe Leszno Ostroroga,393000.0,"ul. Jana Ostroroga, Leszno, wielkopolskie",45.1,2 ,4/5,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-leszno-ostroroga-ID4nrJF,Wielkopolskie,Leszno
Apartament/ 3 Pokoje/ Osielsko/ Hala Garażowa,599000.0,"Osielsko, Osielsko, bydgoski, kujawsko-pomorskie",68.0,3 ,1/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/apartament-3-pokoje-osielsko-hala-garazowa-ID4nsiy,Kujawsko-pomorskie,bydgoski
Kawalerka/ Szwederowo/ Wieżowiec/ 4 Piętro,185000.0,"Szwederowo, Bydgoszcz, kujawsko-pomorskie",18.0,1 ,4/10,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/kawalerka-szwederowo-wiezowiec-4-pietro-ID4n195,Kujawsko-pomorskie,Bydgoszcz
GOTOWE 3 pokoje + Miejsce Postojowe_pod KREDYT 2%,496400.0,"Ujeścisko-Łostowice, Gdańsk, pomorskie",52.23,3 ,2,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-miejsce-postojowe-pod-kredyt-2-ID4nRlo,Pomorskie,Gdańsk
"Mieszkanie 45,4m z możliwością rozbudowy",198500.0,"ul. Domańskiego, Żary, żarski, lubuskie",45.4,2 ,2/2,do remontu,piece kaflowe,,,https://www.otodom.pl/pl/oferta/mieszkanie-45-4m-z-mozliwoscia-rozbudowy-ID4j8Jo,Lubuskie,żarski
Nowe 4 pokoje_12 min od Centrum_Możliwy Kredyt 2%,532790.0,"Ujeścisko-Łostowice, Gdańsk, pomorskie",60.6,4 ,2,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/nowe-4-pokoje-12-min-od-centrum-mozliwy-kredyt-2-ID4nRlQ,Pomorskie,Gdańsk
2 pokoje 43m² j. kuchnia c.woda MPEC tramwaj,630000.0,"Prądnik Biały, Prądnik Biały, Kraków, małopolskie",43.0,2 ,1/10,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-43m-j-kuchnia-c-woda-mpec-tramwaj-ID4nNbz,Małopolskie,Kraków
"Biskupin, blisko ZOO, 2pok,40m2, C.O.Miejskie",459000.0,"ul. Stefanii Sempołowskiej, Biskupin, Śródmieście, Wrocław, dolnośląskie",40.0,2 ,parter/4,,miejskie,,,https://www.otodom.pl/pl/oferta/biskupin-blisko-zoo-2pok-40m2-c-o-miejskie-ID4nWgy,Dolnośląskie,Wrocław
4-pokojowe mieszkanie 72m2 + 2 balkony,799500.0,"ul. Sowia, Łacina, Nowe Miasto, Poznań, wielkopolskie",72.79,4 ,3/6,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-2-balkony-ID4kx9X,Wielkopolskie,Poznań
"Mieszkanie 2-pokojowe, 44,73m2, bezpośrednio",644000.0,"ul. Unii Lubelskiej, Żegrze, Nowe Miasto, Poznań, wielkopolskie",44.73,2 ,parter,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-44-73m2-bezposrednio-ID4nJao,Wielkopolskie,Poznań
3-pokojowe mieszkanie 85m2 + 2 balkony,1128478.0,"ul. Stefana Jaracza, Młyniska, Gdańsk, pomorskie",85.3,3 ,4/11,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-85m2-2-balkony-ID4eB9e,Pomorskie,Gdańsk
Nowe wykończone Pod Klucz 3 pokoje+ balkon Lutynia,521000.0,"Lutynia, Miękinia, średzki, dolnośląskie",58.64,3 ,2/2,,,,balkon,https://www.otodom.pl/pl/oferta/nowe-wykonczone-pod-klucz-3-pokoje-balkon-lutynia-ID4nWgs,Dolnośląskie,średzki
"75m2, Retkinia Północ",590000.0,"ul. Janusza Kusocińskiego, Retkinia, Polesie, Łódź, łódzkie",75.0,3 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/75m2-retkinia-polnoc-ID4nCJ2,Łódzkie,Łódź
"Stylowe mieszkanie 60,58 świetna lok. Sadowa",449000.0,"Piotrków Trybunalski, łódzkie",60.58,3 ,3/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-60-58-swietna-lok-sadowa-ID4mDD7,Łódzkie,Piotrków Trybunalski
"3 Pokoje, Wysoki Standard, KLIMATYZACJA",699000.0,"ul. Niedźwiedzia, Kijewo, Prawobrzeże, Szczecin, zachodniopomorskie",70.0,3 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-wysoki-standard-klimatyzacja-ID4nk7j,Zachodniopomorskie,Szczecin
Sprzedam dwupokojowe mieszkanie parter,280000.0,"Ostrowiec Świętokrzyski, ostrowiecki, świętokrzyskie",48.0,2 ,parter/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sprzedam-dwupokojowe-mieszkanie-parter-ID4nWgh,Świętokrzyskie,ostrowiecki
3 pokoje_balkon #0PCC + Developer,822000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",66.5,3 ,1/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-balkon-0pcc-developer-ID4nWgm,Mazowieckie,Warszawa
"Dwa pokoje Solec 115, 2 piętro, winda, ciche",720000.0,"ul. Solec, Solec, Śródmieście, Warszawa, mazowieckie",36.0,2 ,2/8,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, ogródek",https://www.otodom.pl/pl/oferta/dwa-pokoje-solec-115-2-pietro-winda-ciche-ID4nJak,Mazowieckie,Warszawa
Trzy pokoje. Po remoncie. Umeblowane.,529000.0,"ul. Niemodlińska, Zaodrze, Opole, opolskie",57.08,3 ,3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/trzy-pokoje-po-remoncie-umeblowane-ID4mdye,Opolskie,Opole
Osiedle Mazury - 48 m2 po kapitalnym remoncie!,312000.0,"ul. Nowowarszawska, Hajnówka, hajnowski, podlaskie",48.0,2 ,3/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/osiedle-mazury-48-m2-po-kapitalnym-remoncie-ID4nNGF,Podlaskie,hajnowski
Nova Stężycka - kameralna inwestycja! Ponad 90 m2!,679000.0,"ul. Stężycka, Jasień, Gdańsk, pomorskie",95.0,5 ,1/1,,,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/nova-stezycka-kameralna-inwestycja-ponad-90-m2-ID4ng0C,Pomorskie,Gdańsk
3 pokojowe mieszkanie z garażem i balkonem,799000.0,"Mariana Wyrzykowskiego, Nowodwory, Białołęka, Warszawa, mazowieckie",59.0,3 ,3/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-garazem-i-balkonem-ID4nN9B,Mazowieckie,Warszawa
"Mieszkanie 3 pok. 47,09 m² w samym centrum miasta",549000.0,"ul. ks. kard. Stefana Wyszyńskiego, Stare Miasto, Śródmieście, Szczecin, zachodniopomorskie",47.09,3 ,1/7,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-47-09-m-w-samym-centrum-miasta-ID4nWgf,Zachodniopomorskie,Szczecin
3-pokojowe mieszkanie 60m2 + balkon Bezpośrednio,,"ul. Facimiech, Kozłówka, Bieżanów-Prokocim, Kraków, małopolskie",60.22,3 ,1/10,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bezposrednio-ID4m4CS,Małopolskie,Kraków
"Mieszkanie 2-poziomowe, 3- pokojowe. Pomorzany",699000.0,"Pomorzany, Zachód, Szczecin, zachodniopomorskie",66.2,3 ,3/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-poziomowe-3-pokojowe-pomorzany-ID4nvYg,Zachodniopomorskie,Szczecin
Rewelacyjne mieszkanie !!100m od Piotrkowskiej ! !,197000.0,"ul. Wschodnia, Centrum, Śródmieście, Łódź, łódzkie",26.0,1 ,3/4,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/rewelacyjne-mieszkanie-100m-od-piotrkowskiej-ID4dVVs,Łódzkie,Łódź
2 Pokoje 42 m2 Świdnik - 1 Piętro,280000.0,"Świdnik, świdnicki, lubelskie",42.0,2 ,1/4,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokoje-42-m2-swidnik-1-pietro-ID4nWgb,Lubelskie,świdnicki
"Słoneczne 2 pokoje, Os. Poręba",485000.0,"Czuby Południowe, Lublin, lubelskie",53.0,2 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-os-poreba-ID4nWg8,Lubelskie,Lublin
"Miasteczko Wilanów, 2pok, gotowe z meblami",849000.0,"al. Aleja Rzeczypospolitej 33a, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",41.73,2 ,1/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/miasteczko-wilanow-2pok-gotowe-z-meblami-ID4nooI,Mazowieckie,Warszawa
4-pokojowe mieszkanie 65m2 + 2 balkony,,"ul. Jodłowicka, Pracze Odrzańskie, Fabryczna, Wrocław, dolnośląskie",65.84,4 ,3/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-65m2-2-balkony-ID4nLWa,Dolnośląskie,Wrocław
"Dwupokojowe mieszkanie, osobna kuchnia, balkon!",698000.0,"ul. Nad Perełką, Piaseczno, Piaseczno, piaseczyński, mazowieckie",54.92,2 ,3/3,do zamieszkania,gazowe,,balkon,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-osobna-kuchnia-balkon-ID4nWg2,Mazowieckie,piaseczyński
2 pokoje (50m) Jordanowska -gotowe do wprowadzenia,670000.0,"ul. Jordanowska, Oporów, Fabryczna, Wrocław, dolnośląskie",50.3,2 ,1/2,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-50m-jordanowska-gotowe-do-wprowadzenia-ID4nUZJ,Dolnośląskie,Wrocław
4-pokojowe mieszkanie 92m2 + balkon,,"ul. Wojciecha z Brudzewa, Zalesie, Śródmieście, Wrocław, dolnośląskie",92.13,4 ,2/3,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-balkon-ID4lryl,Dolnośląskie,Wrocław
Mieszkanie 3-pokojowe 61.5m - bliska Białołęka,879000.0,"ul. Głębocka 115, Grodzisk, Białołęka, Warszawa, mazowieckie",61.5,3 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-61-5m-bliska-bialoleka-ID4nJa7,Mazowieckie,Warszawa
"Świetna lokalizacja, bardzo niski czynsz",365000.0,"Marszałkowska, Szydłówek, Kielce, świętokrzyskie",39.0,2 ,1/2,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-bardzo-niski-czynsz-ID4nWfZ,Świętokrzyskie,Kielce
62m2 Brandstaettera 3-pokojowe,495000.0,"ul. Romana Brandstaettera, Tarnów, małopolskie",62.0,3 ,2/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/62m2-brandstaettera-3-pokojowe-ID4nWf9,Małopolskie,Tarnów
Gotowe Do Wprowadzenia!,479000.0,"ul. Legionów, Chełmińskie Przedmieście, Toruń, kujawsko-pomorskie",68.86,3 ,4/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-ID4nWfV,Kujawsko-pomorskie,Toruń
3-pokojowe mieszkanie 66m2 + ogródek Bezpośrednio,1421602.0,"ul. Białej Koniczyny/ul. Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie",66.43,3 ,parter/2,do wykończenia,,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrodek-bezposrednio-ID4i0sv,Mazowieckie,Warszawa
"Świdnik centrum 36,76m2 -zobacz Film",315000.0,"ul. Bartosza Głowackiego, Świdnik, świdnicki, lubelskie",36.76,2 ,,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/swidnik-centrum-36-76m2-zobacz-film-ID4nWfT,Lubelskie,świdnicki
"Bez Prowizji, Bez Pcc, Rynek Pierwotny",577908.0,"ul. Warszawska, Niedźwiadek, Ursus, Warszawa, mazowieckie",53.51,3 ,2/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bez-prowizji-bez-pcc-rynek-pierwotny-ID4nCDZ,Mazowieckie,Warszawa
3 pokoje_baklon/developer_bezpośrednio,832000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",67.0,3 ,2/3,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-baklon-developer-bezposrednio-ID4nWfS,Mazowieckie,Warszawa
"Bez Prowizji, Bez Pcc, Rynek Pierwotny",496784.0,"ul. Warszawska, Piastów, pruszkowski, mazowieckie",40.72,2 ,2/2,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bez-prowizji-bez-pcc-rynek-pierwotny-ID4nCE0,Mazowieckie,pruszkowski
3 pok. mieszkanie z ogródkiem/ Zawady/ Poznań.,659000.0,"Główna, Nowe Miasto, Poznań, wielkopolskie",55.0,3 ,parter/4,do zamieszkania,gazowe,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-z-ogrodkiem-zawady-poznan-ID4jSTL,Wielkopolskie,Poznań
4-pokojowe mieszkanie 72m2 + ogródek,766272.0,"ul. Przemyska, Ujeścisko-Łostowice, Gdańsk, pomorskie",72.98,4 ,parter/4,do wykończenia,,garaż/miejsce parkingowe,"taras, ogródek",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-ogrodek-ID4hHJ9,Pomorskie,Gdańsk
2 pok. mieszkanie z balkonem/ os. Tysiąclecia,439000.0,"Chartowo, Nowe Miasto, Poznań, wielkopolskie",45.0,2 ,4/10,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-z-balkonem-os-tysiaclecia-ID4nHmC,Wielkopolskie,Poznań
dochodowy apartament sauna basen klima parking ***,695000.0,"ul. Koralowa 15, Kołobrzeg, kołobrzeski, zachodniopomorskie",53.0,2 ,1/4,,gazowe,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/dochodowy-apartament-sauna-basen-klima-parking-ID4ii1G,Zachodniopomorskie,kołobrzeski
